SymbolName	Axes.M2K4 rY.ActPos	SymbolName	Axes.M2K4 rY.SetPos	SymbolName	Axes.M2K4 rY.PosDiff	SymbolName	Axes.M3K4 rX.ActPos	SymbolName	Axes.M3K4 rX.SetPos	SymbolName	Axes.M3K4 rX.PosDiff
NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1
Port	501	Port	501	Port	501	Port	501	Port	501	Port	501
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0


306	14396,614796000009	306	14396,620144000015	306	0	306	-11786,237717000011	306	-11786,229986000006	306	0
308	14396,55596800003	308	14396,620144000015	308	0	308	-11786,248025000008	308	-11786,229986000006	308	0
310	14396,625492000021	310	14396,620144000015	310	0	310	-11786,276372000008	310	-11786,229986000006	310	0
312	14396,539924000012	312	14396,620144000015	312	0	312	-11786,224832000007	312	-11786,229986000006	312	0
314	14396,539924000012	314	14396,620144000015	314	0	314	-11786,248025000008	314	-11786,229986000006	314	0
316	14396,59875200002	316	14396,620144000015	316	0	316	-11786,253179000007	316	-11786,229986000006	316	0
318	14396,529228000029	318	14396,620144000015	318	0	318	-11786,235140000004	318	-11786,229986000006	318	0
320	14396,588056000008	320	14396,620144000015	320	0	320	-11786,250602	320	-11786,229986000006	320	0
322	14396,673624000017	322	14396,620144000015	322	0	322	-11786,258333000005	322	-11786,229986000006	322	0
324	14396,550620000024	324	14396,620144000015	324	0	324	-11786,255756000013	324	-11786,229986000006	324	0
326	14396,630840000027	326	14396,620144000015	326	0	326	-11786,248025000008	326	-11786,229986000006	326	0
328	14396,678972000023	328	14396,620144000015	328	0	328	-11786,250602	328	-11786,229986000006	328	0
330	14396,646884000016	330	14396,620144000015	330	0	330	-11786,255756000013	330	-11786,229986000006	330	0
332	14396,593404000014	332	14396,620144000015	332	0	332	-11786,260910000012	332	-11786,229986000006	332	0
334	14396,572012000019	334	14396,620144000015	334	0	334	-11786,21452400001	334	-11786,229986000006	334	0
336	14396,518532000016	336	14396,620144000015	336	0	336	-11786,24287100001	336	-11786,229986000006	336	0
338	14396,625492000021	338	14396,620144000015	338	0	338	-11786,273795000001	338	-11786,229986000006	338	0
340	14396,561316000007	340	14396,620144000015	340	0	340	-11786,24287100001	340	-11786,229986000006	340	0
342	14396,566664000013	342	14396,620144000015	342	0	342	-11786,253179000007	342	-11786,229986000006	342	0
344	14396,518532000016	344	14396,620144000015	344	0	344	-11786,271218000009	344	-11786,229986000006	344	0
346	14396,593404000014	346	14396,620144000015	346	0	346	-11786,263487000004	346	-11786,229986000006	346	0
348	14396,593404000014	348	14396,620144000015	348	0	348	-11786,240294000003	348	-11786,229986000006	348	0
350	14396,566664000013	350	14396,620144000015	350	0	350	-11786,26606400001	350	-11786,229986000006	350	0
352	14396,55596800003	352	14396,620144000015	352	0	352	-11786,255756000013	352	-11786,229986000006	352	0
354	14396,593404000014	354	14396,620144000015	354	0	354	-11786,278949	354	-11786,229986000006	354	0
356	14396,620144000015	356	14396,620144000015	356	0	356	-11786,245448000002	356	-11786,229986000006	356	0
358	14396,64153600001	358	14396,620144000015	358	0	358	-11786,258333000005	358	-11786,229986000006	358	0
360	14396,588056000008	360	14396,620144000015	360	0	360	-11786,248025000008	360	-11786,229986000006	360	0
362	14396,646884000016	362	14396,620144000015	362	0	362	-11786,248025000008	362	-11786,229986000006	362	0
364	14396,625492000021	364	14396,620144000015	364	0	364	-11786,263487000004	364	-11786,229986000006	364	0
366	14396,588056000008	366	14396,620144000015	366	0	366	-11786,24287100001	366	-11786,229986000006	366	0
368	14396,561316000007	368	14396,620144000015	368	0	368	-11786,237717000011	368	-11786,229986000006	368	0
370	14396,55596800003	370	14396,620144000015	370	0	370	-11786,258333000005	370	-11786,229986000006	370	0
372	14396,523880000023	372	14396,620144000015	372	0	372	-11786,278949	372	-11786,229986000006	372	0
374	14396,652232000022	374	14396,620144000015	374	0	374	-11786,224832000007	374	-11786,229986000006	374	0
376	14396,566664000013	376	14396,620144000015	376	0	376	-11786,248025000008	376	-11786,229986000006	376	0
378	14396,636188000004	378	14396,620144000015	378	0	378	-11786,250602	378	-11786,229986000006	378	0
380	14396,572012000019	380	14396,620144000015	380	0	380	-11786,271218000009	380	-11786,229986000006	380	0
382	14396,625492000021	382	14396,620144000015	382	0	382	-11786,248025000008	382	-11786,229986000006	382	0
384	14396,539924000012	384	14396,620144000015	384	0	384	-11786,24287100001	384	-11786,229986000006	384	0
386	14396,550620000024	386	14396,620144000015	386	0	386	-11786,229986000006	386	-11786,229986000006	386	0
388	14396,561316000007	388	14396,620144000015	388	0	388	-11786,263487000004	388	-11786,229986000006	388	0
390	14396,620144000015	390	14396,620144000015	390	0	390	-11786,245448000002	390	-11786,229986000006	390	0
392	14396,55596800003	392	14396,620144000015	392	0	392	-11786,281526000006	392	-11786,229986000006	392	0
394	14396,588056000008	394	14396,620144000015	394	0	394	-11786,245448000002	394	-11786,229986000006	394	0
396	14396,604100000026	396	14396,620144000015	396	0	396	-11786,229986000006	396	-11786,229986000006	396	0
398	14396,577360000025	398	14396,620144000015	398	0	398	-11786,21452400001	398	-11786,229986000006	398	0
400	14396,577360000025	400	14396,620144000015	400	0	400	-11786,281526000006	400	-11786,229986000006	400	0
402	14396,59875200002	402	14396,620144000015	402	0	402	-11786,253179000007	402	-11786,229986000006	402	0
404	14396,678972000023	404	14396,620144000015	404	0	404	-11786,253179000007	404	-11786,229986000006	404	0
406	14396,55596800003	406	14396,620144000015	406	0	406	-11786,235140000004	406	-11786,229986000006	406	0
408	14396,566664000013	408	14396,620144000015	408	0	408	-11786,253179000007	408	-11786,229986000006	408	0
410	14396,51318400001	410	14396,620144000015	410	0	410	-11786,245448000002	410	-11786,229986000006	410	0
412	14396,561316000007	412	14396,620144000015	412	0	412	-11786,235140000004	412	-11786,229986000006	412	0
414	14396,55596800003	414	14396,620144000015	414	0	414	-11786,263487000004	414	-11786,229986000006	414	0
416	14396,59875200002	416	14396,620144000015	416	0	416	-11786,240294000003	416	-11786,229986000006	416	0
418	14396,550620000024	418	14396,620144000015	418	0	418	-11786,248025000008	418	-11786,229986000006	418	0
420	14396,566664000013	420	14396,620144000015	420	0	420	-11786,258333000005	420	-11786,229986000006	420	0
422	14396,593404000014	422	14396,620144000015	422	0	422	-11786,26606400001	422	-11786,229986000006	422	0
424	14396,64153600001	424	14396,620144000015	424	0	424	-11786,273795000001	424	-11786,229986000006	424	0
426	14396,55596800003	426	14396,620144000015	426	0	426	-11786,253179000007	426	-11786,229986000006	426	0
428	14396,561316000007	428	14396,620144000015	428	0	428	-11786,237717000011	428	-11786,229986000006	428	0
430	14396,582708000031	430	14396,620144000015	430	0	430	-11786,250602	430	-11786,229986000006	430	0
432	14396,64153600001	432	14396,620144000015	432	0	432	-11786,240294000003	432	-11786,229986000006	432	0
